"id","title","composer","arranger","specific_voicing","key","time","notes"
"95","The Christmas Song (Chestnuts Roasting On An Open Fire)","Torme, Wells","Ehret","SATB",,,
"97","Can You Feel the Love Tonight","John","Christopher","SATB",,,
"98","Chorus of the Hebrew Slaves from Nabucco","Verdi","Rutter","SSATTB",,,
"92","Circle of Life","John, Rice","Christopher","SATB",,,
"93","Candlelight Carol","Rutter",,"SATBB",,,
"640","O Lux Beata Trinitas","Matsushita",,"SSATBB",,,"2 copies"
"102","Dormi, Jesu","Betinis",,"SATB",,,
"700","Shut De DÅ","Hayes",,"SATB",,,
"105","Der Tanz","Schubert","Robison","SATB",,"3/4","5 copies"
"99","Coronation Mass","Mozart","Taubmann","SATB",,,"6 copies"
"100","Come to Me, My Love","Dello Joio",,"SATB",,,"7 copies"
"101","Concord from ""Gloriana""","Britten",,"SATB",,,
"62","Be Our Guest","Menken","Lojeski","SAB",,,
"19","At Her Fair Hands","Young",,"SATB",,,
"676","Lord, Make Me an Instrument of Thy Peace","Rutter",,"SATB",,,
"674","Psalm 96","Sweelinck",,"SATB",,,
"681","Requiem","Salamunovich","Durufle","SATB",,,
"915","This Day We Sing Together","Arcadett",,"SAB",,,"2 copies"
"18","America the Beautiful","Bates","Folstrom","SATB",,,
"29","Beautiful Savior","Folk - Silesian","Christiansen","SATB",,,
"672","Praise the Lord",,"Hopkins","SATB",,,
"32","Ballade to the Moon","Elder",,"SATB",,,
"25","At The Round Earth's Imagined Corners","Spencer",,"SATB",,,"5 Copies"
"26","The Darkling Thrush","Takach",,"SATB",,,
"27","The Awakening","Martin",,"SATB",,,
"686","Let Everything That Hath Breath","Ames",,"SATB",,,
"5","Ave Maria","Victoria","Rutter","SATB",,,
"685","Rest","Williams","Rossetti","SSATB",,,
"345","And So it Goes","Joel","Chilcott","SATB",,,
"2","Another Op'nin, Another Show","Porter","Kern","SSATB",,,"2 Copies"
"687","To Thee, Cherubim and Seraphim","Handel",,"SATB",,,
"13","Alma Redemptoris Mater","Palestrina","Eder","SATB",,,
"14","Beatus Vir","Monteverdi","Rutter","SSATTB",,,
"682","Four Roberts Burns Ballads","Mulholland","Burns","SATB",,,"1. A Red, Red, Rose; 2. Green Grow the Rashes, O; 3. The Banks O' Doon; 4. Highland Mary"
"684","Ride On, King Jesus",,"Hogan","SATB",,,
"10","Ave Maria","Biebl",,"SAATTBB","F major",,
"689","Te Deum","Haydn",,"SATB",,,
"48","Antiphon","Williams",,"SATB",,,
"49","Annie Laurie","Scott","Martin","SATB",,,
"694","Ring Out, Wild Bells","Dove",,"SSAATTBB",,,
"45","Alleluia","Handel","Wyatt","SATB",,,
"46","Elijah Rock","Traditional spiritual","Hogan","SSATB",,,
"47","Ave Verum Corpus","Byrd","Greyson","SATB",,,
"56","Amor Vittorioso","Gastoldi","Leininger","SATB",,,
"657","Schicksalslied","Brahms","HÃ¶lderlin","SATB",,"3/4",
"655","One Small Child","Meece","Emerson","SATB",,,
"660","We Are the Music Makers!","Markley",,"SATB",,,
"52","Alleluia","Basler",,"SATB",,,
"54","At the River","Wilding-White","Copland","SATB",,,
"691","Nunc Dimitis","Holst",,"SSAATTBB",,,
"37","Six Songs of Early Canada","Folk-Canadian","Patriquin","SATB",,,
"668","My Soul's Been Anchored in the Lord","Traditional","Hogan","SATB",,,
"671","My Eternal King",,"Marshall","SATB",,,
"34","Buccanate In Neomenia Tuba","Croce","Alwes","SATB",,,
"690","Praise His Holy Name","Hampton",,"SATB",,,
"663","The Milkmaid's Fable","Cobb",,"SATB",,,
"662","Make A Joyful Noise","Spevacek",,"SSAB",,,
"44","Amor De Mi Alma","Stroope",,"SATB",,,
"667","Moonlight Sound Design","Tiguls",,"SATB",,,
"664","Poor Man Lazrus",,"Hairston","SATB",,,
"41","Baile de Gaita","Folk - Spanish","Wagner","SATB",,,
"708","Loet den Herren (Praise the Lord)","Praetorius",,"SATB",,,
"169","Gloria Patri","Palestrina",,"SATB",,,
"589","Yellow Bird","Luboff",,"SATB",,,
"204","I Am Loved","Harris",,"SATB",,,
"205","Grease","Casey, Jacobs","Brymer","SATB",,,
"605","The Road Not Taken from Frostiana","Thompson","Frost","SATB",,,
"603","One Smiling Summer Morning","Verdelot",,"SATB",,,
"860","O Magnum Mysterium","Antognini",,"SATB",,,
"173","Gloria","Haydn",,"SATB",,,
"170","Gloria","Dvorak","Imig","SATB",,,
"172","Gloria","Leavitt",,"SATB",,,
"206","He's Got the Whole World","Spiritual","Liebau","SATB",,,
"608","WIND","Jennings",,"SATB",,,"5 copies"
"717","Surely, He Hath Borne Our Griefs","Graun","Ehret","SATB",,,
"159","Frohlocket, ihr Volker auf Erden","Mendelssohn","Kaptein","SSAATTBB",,,
"586","What Is Gold","Duson","O'Neill","SATB",,,
"209","It's Beginning To Look Like Christmas","Willson","Kerr","SATB",,,
"167","Gloria from the World Beloved: A Bluegrass Mass","Barnett",,"SATB",,,
"730","Manhattan Melodies",,"Schmuttle","SATB",,,
"166","Gloria in Excelsis Deo","Weekles",,"SSAATB",,,"8 copies"
"208","In Virtute Tua","Gorczycki",,"SATB",,,
"164","Footloose","Loggins","Shaw","SATB",,,
"859","City of Stars","Hurwitz",,"SATB",,,"3 copies"
"196","The Bartered Bride","Smetana","Ellsworth","SATB",,,
"188","Hark, I Hear the Harps Eternal","Traditional Hymn","Parker","SSAATBB",,,
